gameId,target,distractor,trial,targetNum,repNum,response,correct,listener,speaker,game,exclude,exclusion_reason,words,all_words,type,expt,speaker_gender,speaker_age,listener_gender,listener_age,time.sec
D5CPASpy5Aj3aZNtS,swim,hold,5,1,1,swim,1,id35,id36,game52,NA,NA,2,2,block 2,1,male,50,female,56,15.846
D5CPASpy5Aj3aZNtS,hold,jump,6,2,1,jump,0,id36,id35,game52,NA,NA,2,2,block 2,1,female,56,male,50,15.791
D5CPASpy5Aj3aZNtS,walk,hold,7,3,1,walk,1,id35,id36,game52,NA,NA,3,5,block 2,1,male,50,female,56,34.048
D5CPASpy5Aj3aZNtS,jump,hold,8,0,2,jump,1,id36,id35,game52,NA,NA,3,3,block 3,1,female,56,male,50,8.769
D5CPASpy5Aj3aZNtS,swim,jump,9,1,2,swim,1,id35,id36,game52,NA,NA,2,2,block 3,1,male,50,female,56,17.755
D5CPASpy5Aj3aZNtS,walk,swim,10,2,2,walk,1,id36,id35,game52,NA,NA,3,3,block 3,1,female,56,male,50,5.614
D5CPASpy5Aj3aZNtS,hold,walk,11,3,2,hold,1,id35,id36,game52,NA,NA,5,5,block 3,1,male,50,female,56,11.702
baPLK5TnMYMSDvksA,jump,walk,1,1,0,walk,0,id40,id39,game54,NA,NA,4,4,block 1,1,male,53,female,59,144.234
baPLK5TnMYMSDvksA,hold,jump,2,2,0,hold,1,id39,id40,game54,NA,NA,2,2,block 1,1,female,59,male,53,21.616
baPLK5TnMYMSDvksA,walk,swim,3,3,0,walk,1,id40,id39,game54,NA,NA,2,2,block 1,1,male,53,female,59,9.527
baPLK5TnMYMSDvksA,walk,hold,4,0,1,hold,0,id39,id40,game54,NA,NA,2,2,block 2,1,female,59,male,53,13.28
baPLK5TnMYMSDvksA,swim,hold,5,1,1,swim,1,id40,id39,game54,NA,NA,9,12,block 2,1,male,53,female,59,46.05
baPLK5TnMYMSDvksA,jump,swim,6,2,1,swim,0,id39,id40,game54,NA,NA,2,5,block 2,1,female,59,male,53,15.224
